Comment,Designator,Footprint,LCSC Part #
DW02S ,BAT1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
10uF/C0603 ,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C19702
27pF/50V/5%/C0G/C0402 ,"C2,C3",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1555
22uF/6.3V/20%/X5R/C0603 ,"C4,C7,C9",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C59461
100nF/10V/10%/X7R/C0402 ,"C5,C6,C10",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525
1uF/10V/10%/X5R/C0402 ,C8,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923
1N5819W/SOD123 ,"D1,D2,D3,D4,D6,D7,D8,D9",D_SOD-123,C402219
BAT54C(SOT23-3) ,D5,SOT-23_Handsoldering,C375703
WPM2015-3/TR ,FET1,SOT-23_Handsoldering,C213159
TP5000-QFN16 ,IC1,QFN65P400X400X90-17N-D,C51699
4.7u Inductor,L1,L_1206_3216Metric,C1049
Q12MHz/20pF/10ppm/4P/3.2x2.5mm ,Q1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,C9002
BC817-40(SOT23) ,"Q2,Q3",SOT-23_Handsoldering,C181151
"SI2302DS NMOS/GSD N-MOSFET transistor, gate/source/drain",Q4,SOT-23_Handsoldering,
"QBC817 NPN/BEC NPN transistor, base/emitter/collector",Q5,SOT-23_Handsoldering,
10k/R0402 ,"R1,R2,R8,R9,R13,R16,R17,R18,R21",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
220k/R0402 ,R4,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25767
470k/R0402 ,"R5,R10,R11",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25790
2.2k/R0402 ,"R6,R7,R12,R14",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25879
220/R0402 ,R15,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25091
0 /R0402 ,R19,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C17168
"4,7k/R0402 ",R20,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25900
IT-1185AU2-160G-G-TR ,RST1,SW_SPST_B3U-3000P,
"SW_DIP_x04 4x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",SW1,DSHP04TSS,C319050
ESP32-WROVER ,U1,XCVR_ESP32-WROVER-I,C503591
CH340T(SSOP20W) ,U3,SSOP20-0.65-7.6X5.2MM,C8689
"AMS1117-3.3 1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223",U4,SOT-223-3_TabPin2,C6186
